"res_og_node_name","con_og_node_name"
"Phytoplankton","zooplankton"
"Bacterioplankton","zooplankton"
"Zooplankton","zooplankton"
"Bacterioplankton","Capsospongia undulata"
"Bacterioplankton","Choia carteri"
"Bacterioplankton","Choia ridleyi"
"Bacterioplankton","Crumillospongia biporosa"
"Bacterioplankton","Crumillospongia frondosa"
"Bacterioplankton","Falospongia falata"
"Bacterioplankton","Fieldospongia bellilineata"
"Bacterioplankton","Halichondrites elissa"
"Bacterioplankton","Hamptonia bowerbanki"
"Bacterioplankton","Hazelia conferta"
"Bacterioplankton","Hazelia crateria"
"Bacterioplankton","Hazelia delicatula"
"Bacterioplankton","Hazelia dignata"
"Bacterioplankton","Hazelia grandis"
"Bacterioplankton","Hazelia luteria"
"Bacterioplankton","Hazelia nodulifera"
"Bacterioplankton","Hazelia obscura"
"Bacterioplankton","Hazelia palmata"
"Bacterioplankton","Leptomitus lineatus"
"Bacterioplankton","Moleculopina mammilata"
"Bacterioplankton","Pirania muricata"
"Bacterioplankton","Sentinelia draco"
"Bacterioplankton","Takakkawia lineata"
"Bacterioplankton","Vauxia bellula"
"Bacterioplankton","Vauxia densa"
"Bacterioplankton","Vauxia gracilenta"
"Bacterioplankton","Vauxia venata"
"Bacterioplankton","Wapkia grandis"
"Bacterioplankton","Diagoniella hindei"
"Bacterioplankton","Protospongia hicksi"
"Bacterioplankton","Stephanospongia magnipora"
"Bacterioplankton","Canistrumella alternata"
"Bacterioplankton","Eiffelia globosa"
"Zooplankton","Cambrorhytium fragilis"
"Zooplankton","Cambrorhytium major"
"Zooplankton","Gelenopteron tentaculatum"
"Zooplankton","Mackenzia costalis"
"Zooplankton","Thaumaptilon walcotti"
"Zooplankton","Fasciculus vesanus"
"Cambrorhytium fragilis","Fasciculus vesanus"
"Cambrorhytium major","Fasciculus vesanus"
"Gelenopteron tentaculatum","Fasciculus vesanus"
"Mackenzia costalis","Fasciculus vesanus"
"Thaumaptilon walcotti","Fasciculus vesanus"
"suspended organic matter","Haplophrentis carinatus"
"Zooplankton","Haplophrentis carinatus"
"Marpolia spissa","Scenella amii"
"Morania confluens","Scenella amii"
"Morania elongate","Scenella amii"
"Morania fragmenta","Scenella amii"
"Morania? Frondosa","Scenella amii"
"Morania? Globosa","Scenella amii"
"Morania parasitica","Scenella amii"
"Morania? Reticulate","Scenella amii"
"Margaretia dorus","Scenella amii"
"Yuknessia simplex","Scenella amii"
"Bosworthia gyges","Scenella amii"
"Bosworthia simulans","Scenella amii"
"Dalyia nitens","Scenella amii"
"Dalyia racemata","Scenella amii"
"Wahpia virgata","Scenella amii"
"Waputikia ramose","Scenella amii"
"Sphaerocodium cambria","Scenella amii"
"Sphaerocodium praecursor","Scenella amii"
"Dictyphycus gracilis","Scenella amii"
"Zooplankton","Scenella amii"
"Detritus","Burgessochaeta setigera"
"Detritus","Canadia spinosa"
"Detritus","Peronochaeta dubia"
"Detritus","Stephanoscolex argutus"
"Bacterioplankton","Wiwaxia corrugata"
"Detritus","Wiwaxia corrugata"
"Morania elongate","Wiwaxia corrugata"
"Morania fragmenta","Wiwaxia corrugata"
"Morania? Frondosa","Wiwaxia corrugata"
"Morania? Globosa","Wiwaxia corrugata"
"Morania parasitica","Wiwaxia corrugata"
"Morania? Reticulate","Wiwaxia corrugata"
"Margaretia dorus","Wiwaxia corrugata"
"Yuknessia simplex","Wiwaxia corrugata"
"Bosworthia gyges","Wiwaxia corrugata"
"Bosworthia simulans","Wiwaxia corrugata"
"Dalyia nitens","Wiwaxia corrugata"
"Wahpia mimica","Wiwaxia corrugata"
"Wahpia virgata","Wiwaxia corrugata"
"Waputikia ramose","Wiwaxia corrugata"
"Zooplankton","Acrothyra gregaria"
"Zooplankton","Lingulella waptaensis"
"Zooplankton","Micromitra burgessensis"
"Zooplankton","Paterina zenobia"
"Zooplankton","Diraphora bellicostata"
"Zooplankton","Nisusia burgessensis"
"Capsospongia undulata","Aysheaia pedunculata"
"Choia carteri","Aysheaia pedunculata"
"Choia ridleyi","Aysheaia pedunculata"
"Crumillospongia biporosa","Aysheaia pedunculata"
"Crumillospongia frondosa","Aysheaia pedunculata"
"Falospongia falata","Aysheaia pedunculata"
"Fieldospongia bellilineata","Aysheaia pedunculata"
"Halichondrites elissa","Aysheaia pedunculata"
"Hamptonia bowerbanki","Aysheaia pedunculata"
"Hazelia conferta","Aysheaia pedunculata"
"Hazelia criteria","Aysheaia pedunculata"
"Hazelia delicatula","Aysheaia pedunculata"
"Hazelia dignata","Aysheaia pedunculata"
"Hazelia grandis","Aysheaia pedunculata"
"Hazelia luteria","Aysheaia pedunculata"
"Hazelia nodulifera","Aysheaia pedunculata"
"Hazelia obscura","Aysheaia pedunculata"
"Hazelia palmate","Aysheaia pedunculata"
"Leptomitus lineatus","Aysheaia pedunculata"
"Moleculopina mammilata","Aysheaia pedunculata"
"Pirania muricata","Aysheaia pedunculata"
"Sentinelia draco","Aysheaia pedunculata"
"Takakkawia lineate","Aysheaia pedunculata"
"Vauxia bellula","Aysheaia pedunculata"
"Vauxia densa","Aysheaia pedunculata"
"Vauxia gracilenta","Aysheaia pedunculata"
"Vauxia venata","Aysheaia pedunculata"
"Wapkia grandis","Aysheaia pedunculata"
"Diagoniella hindei","Aysheaia pedunculata"
"Protospongia hicksi","Aysheaia pedunculata"
"Stephanospongia magnipora","Aysheaia pedunculata"
"Canistrumella alternata","Aysheaia pedunculata"
"Eiffelia globosa","Aysheaia pedunculata"
"Zooplankton","Aysheaia pedunculata"
"Detritus","Aysheaia pedunculata"
"Haplophrentis carinatus","Aysheaia pedunculata"
"Scenella amii","Aysheaia pedunculata"
"Burgessochaeta setigera","Aysheaia pedunculata"
"Canadia spinosa","Aysheaia pedunculata"
"Peronochaeta dubia","Aysheaia pedunculata"
"Stephanoscolex argutus","Aysheaia pedunculata"
"Aluta? sp.","Aysheaia pedunculata"
"Ancalagon minor","Aysheaia pedunculata"
"Fieldia lanceolata","Aysheaia pedunculata"
"Selkirkia columbia","Aysheaia pedunculata"
"""Ottoia"" tenuis","Aysheaia pedunculata"
"Oesia disjuncta","Aysheaia pedunculata"
"Portalia mira","Aysheaia pedunculata"
"detritus","Canadaspis perfecta"
"Haplophrentis carinatus","Canadaspis perfecta"
"Scenella amii","Canadaspis perfecta"
"Burgessochaeta setigera","Canadaspis perfecta"
"Canadia spinosa","Canadaspis perfecta"
"Peronochaeta dubia","Canadaspis perfecta"
"Stephanoscolex argutus","Canadaspis perfecta"
"Aluta? sp.","Canadaspis perfecta"
"Ancalagon minor","Canadaspis perfecta"
"Fieldia lanceolata","Canadaspis perfecta"
"Selkirkia columbia","Canadaspis perfecta"
"""Ottoia"" tenuis","Canadaspis perfecta"
"Oesia disjuncta","Canadaspis perfecta"
"Portalia mira","Canadaspis perfecta"
"Haplophrentis carinatus","Emeraldella bocki"
"Scenella amii","Emeraldella bocki"
"Burgessochaeta setigera","Emeraldella bocki"
"Canadia spinosa","Emeraldella bocki"
"Peronochaeta dubia","Emeraldella bocki"
"Stephanoscolex argutus","Emeraldella bocki"
"Aluta? sp.","Emeraldella bocki"
"Ancalagon minor","Emeraldella bocki"
"Fieldia lanceolata","Emeraldella bocki"
"Selkirkia columbia","Emeraldella bocki"
"""Ottoia"" tenuis","Emeraldella bocki"
"Oesia disjuncta","Emeraldella bocki"
"Portalia mira","Emeraldella bocki"
"detritus","Habelia brevicauda"
"detritus","Habelia optata"
"zooplankton","Helmetia expansa"
"Haplophrentis carinatus","Leanchoilia superlata"
"Scenella amii","Leanchoilia superlata"
"Burgessochaeta setigera","Leanchoilia superlata"
"Canadia spinosa","Leanchoilia superlata"
"Peronochaeta dubia","Leanchoilia superlata"
"Stephanoscolex argutus","Leanchoilia superlata"
"Aluta? sp.","Leanchoilia superlata"
"Ancalagon minor","Leanchoilia superlata"
"Fieldia lanceolata","Leanchoilia superlata"
"Selkirkia columbia","Leanchoilia superlata"
"""Ottoia"" tenuis","Leanchoilia superlata"
"Oesia disjuncta","Leanchoilia superlata"
"Portalia mira","Leanchoilia superlata"
"phytoplankton","Marella splendens"
"detritus","Marella splendens"
"zooplankton","Marella splendens"
"detritus","Molaria spinifera"
"Haplophrentis carinatus","Naraoia compacta"
"Burgessochaeta setigera","Naraoia compacta"
"Canadia spinosa","Naraoia compacta"
"Peronochaeta dubia","Naraoia compacta"
"Stephanoscolex argutus","Naraoia compacta"
"Aysheaia pedunculata","Naraoia compacta"
"Hallucigenia sparsa","Naraoia compacta"
"Aluta? sp.","Naraoia compacta"
"Molaria spinifera","Naraoia compacta"
"Fieldia lanceolata","Naraoia compacta"
"Louisella pedunculata","Naraoia compacta"
"Ottoia prolifica","Naraoia compacta"
"Selkirkia columbia","Naraoia compacta"
"Oesia disjuncta","Naraoia compacta"
"Portalia mira","Naraoia compacta"
"Haplophrentis carinatus","Odaraia alata"
"Scenella amii","Odaraia alata"
"Burgessochaeta setigera","Odaraia alata"
"Canadia spinosa","Odaraia alata"
"Peronochaeta dubia","Odaraia alata"
"Stephanoscolex argutus","Odaraia alata"
"Aluta sp. (?)","Odaraia alata"
"Ancalagon minor","Odaraia alata"
"Fieldia lanceolata","Odaraia alata"
"Selkirkia columbia","Odaraia alata"
"""Ottoia"" tenuis","Odaraia alata"
"Oesia disjuncta","Odaraia alata"
"Portalia mira","Odaraia alata"
"Haplophrentis carinatus","Perspicaris dictynna"
"Scenella amii","Perspicaris dictynna"
"Burgessochaeta setigera","Perspicaris dictynna"
"Canadia spinosa","Perspicaris dictynna"
"Peronochaeta dubia","Perspicaris dictynna"
"Stephanoscolex argutus","Perspicaris dictynna"
"Aluta? sp.","Perspicaris dictynna"
"Ancalagon minor","Perspicaris dictynna"
"Fieldia lanceolata","Perspicaris dictynna"
"Selkirkia columbia","Perspicaris dictynna"
"""Ottoia"" tenuis","Perspicaris dictynna"
"Oesia disjuncta","Perspicaris dictynna"
"Portalia mira","Perspicaris dictynna"
"Haplophrentis carinatus","Perspicaris recondita"
"Scenella amii","Perspicaris recondita"
