"res_sp","con_sp"
"Phaeocystis pouchetii","Calanus finnmarchicus"
"Chaetoceros socialis","Calanus finnmarchicus"
"Thalassiosira nordenskioeldii","Calanus finnmarchicus"
"Fragilariopsis","Calanus finnmarchicus"
"Protoperidinium","Calanus finnmarchicus"
"Gymnodinium","Calanus finnmarchicus"
"Dinobryon balticum","Calanus finnmarchicus"
"Thalassiosira antarctica","Calanus finnmarchicus"
"Cylindrotheca closterium","Calanus finnmarchicus"
"Chaetoceros","Calanus finnmarchicus"
"Coccolithus pleagicus","Calanus finnmarchicus"
"Globoquadriana pachyderma","Calanus finnmarchicus"
"Globigerinita bradyi","Calanus finnmarchicus"
"Globigerina quinqueloba","Calanus finnmarchicus"
"Nitzschia frigida","Calanus finnmarchicus"
"Pleurosigma stuxbergii","Calanus finnmarchicus"
"Cylindrotheca closterium","Calanus finnmarchicus"
"Navicula pelagica","Calanus finnmarchicus"
"Entomoneis","Calanus finnmarchicus"
"Cocconeis","Calanus finnmarchicus"
"Dinophysis acuta","Calanus finnmarchicus"
"Onacea borealis","Calanus finnmarchicus"
"Bradyidius similis","Calanus finnmarchicus"
"Microcalanus pusillus","Calanus finnmarchicus"
"Copepoda nauplii","Calanus finnmarchicus"
"Metridia longa","Calanus finnmarchicus"
"Metridia lucens","Calanus finnmarchicus"
"Calanus glacialis","Calanus finnmarchicus"
"Calanus hyperboreus","Calanus finnmarchicus"
"Pseudocalanus","Calanus finnmarchicus"
"Oithona similis","Calanus finnmarchicus"
"Fritillaria","Calanus finnmarchicus"
"Clione limacina","Calanus finnmarchicus"
"Limacina helicina","Calanus finnmarchicus"
"Gaidius tenuispinus","Calanus finnmarchicus"
"Bradyidius similis","Calanus finnmarchicus"
"Xanthocalanus","Calanus finnmarchicus"
"POM","Calanus finnmarchicus"
"Phytodetritus","Calanus finnmarchicus"
"Phaeocystis pouchetii","Onacea borealis"
"Chaetoceros socialis","Onacea borealis"
"Thalassiosira nordenskioeldii","Onacea borealis"
"Fragilariopsis","Onacea borealis"
"Protoperidinium","Onacea borealis"
"Gymnodinium","Onacea borealis"
"Dinobryon balticum","Onacea borealis"
"Thalassiosira antarctica","Onacea borealis"
"Cylindrotheca closterium","Onacea borealis"
"Chaetoceros","Onacea borealis"
"Coccolithus pleagicus","Onacea borealis"
"Globoquadriana pachyderma","Onacea borealis"
"Globigerinita bradyi","Onacea borealis"
"Globigerina quinqueloba","Onacea borealis"
"Nitzschia frigida","Onacea borealis"
