res_sp,con_sp
Anguilla anguilla,Lutra lutra
Pholis gunnellus,Lutra lutra
Zoarces viviparus,Lutra lutra
Myxocephalus scorpius,Lutra lutra
Salmo trutta,Lutra lutra
Anguilla anguilla,Phalacrocorax carbo
Pollachus virens,Phalacrocorax carbo
Ammodytes tobianus,Phalacrocorax carbo
Zoarces viviparus,Phalacrocorax carbo
Pomatoschistus microps,Phalacrocorax carbo
Platichthys flesus,Phalacrocorax carbo
Salmo trutta,Phalacrocorax carbo
Anguilla anguilla,Ardea cinerea
Pollachus virens,Ardea cinerea
Ammodytes tobianus,Ardea cinerea
Pholis gunnellus,Ardea cinerea
Zoarces viviparus,Ardea cinerea
Pomatoschistus microps,Ardea cinerea
Myxocephalus scorpius,Ardea cinerea
Platichthys flesus,Ardea cinerea
Salmo trutta,Ardea cinerea
Carcinus maenas,Ardea cinerea
Enteromorpha,Cygnus olor
Carcinus maenas,Tadorna tadorna
Hydrobia ulvae,Tadorna tadorna
Corophium volutator,Tadorna tadorna
Nereis diversicolor,Tadorna tadorna
Littorina littorea,Tadorna tadorna
Macoma balthica,Tadorna tadorna
Mytilus edulis,Tadorna tadorna
Cerastoderma edule,Tadorna tadorna
Acarina,Tadorna tadorna
Enteromorpha,Tadorna tadorna
Enteromorpha,Anas penelope
Crangon crangon,Somateria mollissima
Carcinus maenas,Somateria mollissima
Littorina littorea,Somateria mollissima
Mytilus edulis,Somateria mollissima
Crangon crangon,Somateria mollissima.1
Hydrobia ulvae,Somateria mollissima.1
Corophium volutator,Somateria mollissima.1
Gammarus spp.,Somateria mollissima.1
Nereis diversicolor,Somateria mollissima.1
Littorina littorea,Somateria mollissima.1
Macoma balthica,Somateria mollissima.1
Mytilus edulis,Somateria mollissima.1
Hydrobia ulvae,Haematopus ostralegus
Corophium volutator,Haematopus ostralegus
Nereis diversicolor,Haematopus ostralegus
Littorina littorea,Haematopus ostralegus
Macoma balthica,Haematopus ostralegus
Mytilus edulis,Haematopus ostralegus
Neomysis integer,Charadris hiaticula
Gammarus spp.,Charadris hiaticula
