web,,updated_node_name,unchanged_node_name,old_node_name,species,genus,family,order,class,phylum,kingdom,tiering,feeding,motility,zooplankton,detritus,size_worms_min,size_worms_max,size_heim_max,size_manual_max,og_body_weight,size_max,size_stat,present_in_og_el
sanak,,,Echinorhynchus gadi,,NA,NA,Echinorhynchidae,NA,Palaeacanthocephala,Acanthocephala,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
sanak,,,Corynosoma,,NA,NA,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ythanjacob,,,Tubifex costatus,,Tubifex costatus,Heterochaeta,Naididae,Haplotaxida,Clitellata,Annelida,Animalia,t_shin,f_surf,m_slow,0,1,0.9,65,NA,NA,0.000556,NA,NA,1
ythanjacob,,,Tubificoides benedeni,,Tubificoides benedeni,Peloscolex,Naididae,Haplotaxida,Clitellata,Annelida,Animalia,t_shin,f_surf,m_slow,0,1,0.9,65,NA,NA,0.0111,NA,NA,1
sanak,,,Oligochaeta,,NA,NA,NA,NA,Clitellata,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
burgess,,Stephenoscolex argutus,,Stephanoscolex argutus,argutus,Stephenoscolex,NA,NA,NA,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,32,s_medi,NA
burgess,,Stephenoscolex argutus,,Stephenoscolex argutus,argutus,Stephenoscolex,NA,NA,NA,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,32,s_medi,NA
kongsfjorden,,,Chone,,Chone,Chone,Sabellidae,"	Sabellida",Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,2.5,300,NA,NA,0.02,NA,NA,1
kongsfjorden,,,Euchone,,Euchone,Euchone,Sabellidae,"	Sabellida",Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,2.5,300,NA,NA,0.02,NA,NA,1
ythanjacob,,,Manayunkia aestuarina,,Manayunkia aestuarina,Manayunkia,Sabellidae,"	Sabellida",Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,2.5,300,NA,NA,0.000208,NA,NA,1
loughhyne,,,Sabellidae gen. sp,,NA,NA,Sabellidae,"	Sabellida",Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,2.5,300,NA,NA,0.636,NA,NA,NA
loughhyne,,,Sabellidae_68076,,NA,NA,Sabellidae,"	Sabellida",Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,2.5,300,NA,NA,0.636,NA,NA,1
