"","source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_citation","source","target"
"1","EOL:486136","Arenicola marina","Animalia | Annelida | Polychaeta |  | Arenicolidae | Arenicola | Arenicola marina",NA,"preyedUponBy","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,NA,NA,NA,NA,"Arenicola","Nereis"
"2","EOL:486136","Arenicola marina","Animalia | Annelida | Polychaeta |  | Arenicolidae | Arenicola | Arenicola marina",NA,"preyedUponBy","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,NA,NA,NA,NA,"Arenicola","Nereis"
"3","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,"preyedUponBy","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,NA,NA,NA,NA,"Nereis","Nereis"
"4","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,"preyedUponBy","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,NA,NA,NA,NA,"Nereis","Nereis"
"5","FBC:SLB:SpecCode:37505","Eteone flava","Polychaeta | Aciculata | Phyllodocidae | Eteone | Eteone flava",NA,"preyedUponBy","FBC:SLB:SpecCode:39837","Hediste diversicolor","Polychaeta | Aciculata | Nereididae | Hediste | Hediste diversicolor",NA,NA,NA,NA,NA,"Eteone","Nereis"
"6","FBC:SLB:SpecCode:37505","Eteone flava","Polychaeta | Aciculata | Phyllodocidae | Eteone | Eteone flava",NA,"preyedUponBy","FBC:SLB:SpecCode:39837","Hediste diversicolor","Polychaeta | Aciculata | Nereididae | Hediste | Hediste diversicolor",NA,NA,NA,NA,NA,"Eteone","Nereis"
"7","EOL:483985","Pygospio elegans","Animalia | Annelida | Polychaeta | Spionida | Spionidae | Pygospio | Pygospio elegans",NA,"preyedUponBy","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,NA,NA,NA,NA,"Pygospio","Nereis"
"8","EOL:483985","Pygospio elegans","Animalia | Annelida | Polychaeta | Spionida | Spionidae | Pygospio | Pygospio elegans",NA,"preyedUponBy","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,NA,NA,NA,NA,"Pygospio","Nereis"
"9","EOL_V2:395985","Cerastoderma edule","Animalia | Mollusca | Bivalvia | Veneroida | Cardioidea | Cardiidae | Cerastoderma | Cerastoderma edule",NA,"preyedUponBy","FBC:SLB:SpecCode:39837","Hediste diversicolor","Polychaeta | Aciculata | Nereididae | Hediste | Hediste diversicolor",NA,NA,NA,NA,NA,"Cerastoderma","Nereis"
"10","EOL_V2:395985","Cerastoderma edule","Animalia | Mollusca | Bivalvia | Veneroida | Cardioidea | Cardiidae | Cerastoderma | Cerastoderma edule",NA,"preyedUponBy","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,NA,NA,NA,NA,"Cerastoderma","Nereis"
