"con_number","consumer_sp","res_number","resource_sp","certainty"
"1","phytoplankton",NA,NA,NA
"2","bacterioplankton",NA,NA,NA
"3","suspended organic matter",NA,NA,NA
"4","benthic detritus",NA,NA,NA
"9","zooplankton","1","phytoplankton","3"
"9","zooplankton","2","bacterioplankton","3"
"10","allantospongia mica","2","bacterioplankton","2"
"11","choia xiaolantianensis","2","bacterioplankton","2"
"12","choiaella radiata","2","bacterioplankton","2"
"13","leptomitella confusa","2","bacterioplankton","2"
"14","leptomitella conica","2","bacterioplankton","2"
"15","leptomitus teretiusculus","2","bacterioplankton","2"
"16","paraleptomitella dictyodroma","2","bacterioplankton","2"
"17","paraleptomitella globosa","2","bacterioplankton","2"
"18","quadrolaminella crassa","2","bacterioplankton","2"
"19","sinoflabrum antiquum","2","bacterioplankton","2"
"20","saetaspongia densa","2","bacterioplankton","2"
"21","triticispongia diagonata","2","bacterioplankton","2"
"22","priscapennamaria angusta","9","zooplankton","1"
"23","xianguangia sinica","9","zooplankton","1"
"24","maotianoascus octonarius","9","zooplankton","2"
"24","maotianoascus octonarius","22","priscapennamaria angusta","1"
"24","maotianoascus octonarius","23","xianguangia sinica","1"
"24","maotianoascus octonarius","24","maotianoascus octonarius","1"
"24","maotianoascus octonarius","25","sinoascus papillatus","1"
"25","sinoascus papillatus","9","zooplankton","2"
"25","sinoascus papillatus","22","priscapennamaria angusta","1"
"25","sinoascus papillatus","23","xianguangia sinica","1"
"25","sinoascus papillatus","24","maotianoascus octonarius","1"
"25","sinoascus papillatus","25","sinoascus papillatus","1"
"26","ambrolinevitus maximus","3","som","1"
"26","ambrolinevitus maximus","9","zooplankton","1"
"27","ambrolinevitus ventricosus","3","som","1"
"27","ambrolinevitus ventricosus","9","zooplankton","1"
"28","burithes yunanensis*","3","som","1"
"28","burithes yunanensis*","9","zooplankton","1"
"29","linevitus optimus","3","som","1"
"29","linevitus optimus","9","zooplankton","1"
"31","lotuba chengjiangensis","2","bacterioplankton","2"
"31","lotuba chengjiangensis","3","som","1"
"32","heliomedusa orienta","2","bacterioplankton","2"
"32","heliomedusa orienta","3","som","1"
"33","diandongia pista","2","bacterioplankton","2"
"33","diandongia pista","3","som","1"
"34","lingulella chengjiangensis","2","bacterioplankton","2"
"34","lingulella chengjiangensis","3","som","1"
"35","lingulellotreta malongensis","2","bacterioplankton","2"
"35","lingulellotreta malongensis","3","som","1"
"36","longtancunella chengiangensis","2","bacterioplankton","2"
"36","longtancunella chengiangensis","3","som","1"
"38","hallucigenia fortis","10","allantospongia mica","1"
"38","hallucigenia fortis","11","choia xiaolantianensis","1"
"38","hallucigenia fortis","12","choiaella radiata","1"
"38","hallucigenia fortis","13","leptomitella confusa","1"
"38","hallucigenia fortis","14","leptomitella conica","1"
